timestamp,point_name,x,y,alias,mac,rssion.
2025-06-26T18:18:42.762533,pt_01,0.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:18:42.762533,pt_01,0.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-33
2025-06-26T18:18:47.114422,pt_11,1.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:47.114422,pt_11,1.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:18:47.114422,pt_11,1.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:18:47.114422,pt_11,1.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-32
2025-06-26T18:18:51.402411,pt_11,1.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:51.402411,pt_11,1.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:18:51.402411,pt_11,1.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-35
2025-06-26T18:18:51.402411,pt_11,1.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-32
2025-06-26T18:18:55.718703,pt_11,1.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:55.718703,pt_11,1.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:18:55.718703,pt_11,1.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-31
2025-06-26T18:18:55.718703,pt_11,1.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:18:59.990803,pt_21,2.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:59.990803,pt_21,2.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:59.990803,pt_21,2.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-30
2025-06-26T18:18:59.990803,pt_21,2.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:04.210856,pt_21,2.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:04.210856,pt_21,2.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:19:04.210856,pt_21,2.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:19:04.210856,pt_21,2.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:08.514964,pt_21,2.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:08.514964,pt_21,2.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:08.514964,pt_21,2.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-31
2025-06-26T18:19:08.514964,pt_21,2.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:12.794771,pt_31,3.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:12.794771,pt_31,3.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:12.794771,pt_31,3.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-32
2025-06-26T18:19:12.794771,pt_31,3.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:17.130558,pt_31,3.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:17.130558,pt_31,3.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:17.130558,pt_31,3.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:19:17.130558,pt_31,3.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:21.478971,pt_31,3.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:21.478971,pt_31,3.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:19:21.478971,pt_31,3.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-31
2025-06-26T18:19:21.478971,pt_31,3.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:25.819005,pt_41,4.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:25.819005,pt_41,4.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:25.819005,pt_41,4.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-32
2025-06-26T18:19:25.819005,pt_41,4.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-30
2025-06-26T18:19:30.114271,pt_41,4.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-11
2025-06-26T18:19:30.114271,pt_41,4.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-36
2025-06-26T18:19:30.114271,pt_41,4.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:19:30.114271,pt_41,4.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
